anomes,ano,mesnum,mesnome,mesnomeabr,mes_key
Set/2013,2013,9,Setembro,Set,2013Set
Out/2013,2013,10,Outubro,Out,2013Out
Nov/2013,2013,11,Novembro,Nov,2013Nov
Dez/2013,2013,12,Dezembro,Dez,2013Dez
Jan/2014,2014,1,Janeiro,Jan,2014Jan
Fev/2014,2014,2,Fevereiro,Fev,2014Fev
Mar/2014,2014,3,Março,Mar,2014Mar
Abr/2014,2014,4,Abril,Abr,2014Abr
Mai/2014,2014,5,Maio,Mai,2014Mai
Jun/2014,2014,6,Junho,Jun,2014Jun
Jul/2014,2014,7,Julho,Jul,2014Jul
Ago/2014,2014,8,Agosto,Ago,2014Ago
Set/2014,2014,9,Setembro,Set,2014Set
Out/2014,2014,10,Outubro,Out,2014Out
Nov/2014,2014,11,Novembro,Nov,2014Nov
Dez/2014,2014,12,Dezembro,Dez,2014Dez
Jan/2015,2015,1,Janeiro,Jan,2015Jan
Fev/2015,2015,2,Fevereiro,Fev,2015Fev
Mar/2015,2015,3,Março,Mar,2015Mar
Abr/2015,2015,4,Abril,Abr,2015Abr
Mai/2015,2015,5,Maio,Mai,2015Mai
Jun/2015,2015,6,Junho,Jun,2015Jun
Jul/2015,2015,7,Julho,Jul,2015Jul
Ago/2015,2015,8,Agosto,Ago,2015Ago
Set/2015,2015,9,Setembro,Set,2015Set
Out/2015,2015,10,Outubro,Out,2015Out
Nov/2015,2015,11,Novembro,Nov,2015Nov
Dez/2015,2015,12,Dezembro,Dez,2015Dez
Jan/2016,2016,1,Janeiro,Jan,2016Jan
Fev/2016,2016,2,Fevereiro,Fev,2016Fev
Mar/2016,2016,3,Março,Mar,2016Mar
Abr/2016,2016,4,Abril,Abr,2016Abr
Mai/2016,2016,5,Maio,Mai,2016Mai
Jun/2016,2016,6,Junho,Jun,2016Jun
Jul/2016,2016,7,Julho,Jul,2016Jul
Ago/2016,2016,8,Agosto,Ago,2016Ago
Set/2016,2016,9,Setembro,Set,2016Set
Out/2016,2016,10,Outubro,Out,2016Out
Nov/2016,2016,11,Novembro,Nov,2016Nov
Dez/2016,2016,12,Dezembro,Dez,2016Dez
Jan/2017,2017,1,Janeiro,Jan,2017Jan
Fev/2017,2017,2,Fevereiro,Fev,2017Fev
Mar/2017,2017,3,Março,Mar,2017Mar
Abr/2017,2017,4,Abril,Abr,2017Abr
Mai/2017,2017,5,Maio,Mai,2017Mai
Jun/2017,2017,6,Junho,Jun,2017Jun
Jul/2017,2017,7,Julho,Jul,2017Jul
Ago/2017,2017,8,Agosto,Ago,2017Ago
Set/2017,2017,9,Setembro,Set,2017Set
Out/2017,2017,10,Outubro,Out,2017Out
Nov/2017,2017,11,Novembro,Nov,2017Nov
Dez/2017,2017,12,Dezembro,Dez,2017Dez
Jan/2018,2018,1,Janeiro,Jan,2018Jan
Fev/2018,2018,2,Fevereiro,Fev,2018Fev
Mar/2018,2018,3,Março,Mar,2018Mar
Abr/2018,2018,4,Abril,Abr,2018Abr
Mai/2018,2018,5,Maio,Mai,2018Mai
Jun/2018,2018,6,Junho,Jun,2018Jun
Jul/2018,2018,7,Julho,Jul,2018Jul
Ago/2018,2018,8,Agosto,Ago,2018Ago
Set/2018,2018,9,Setembro,Set,2018Set
Out/2018,2018,10,Outubro,Out,2018Out
Nov/2018,2018,11,Novembro,Nov,2018Nov
Dez/2018,2018,12,Dezembro,Dez,2018Dez
Jan/2019,2019,1,Janeiro,Jan,2019Jan
Fev/2019,2019,2,Fevereiro,Fev,2019Fev
Mar/2019,2019,3,Março,Mar,2019Mar
Abr/2019,2019,4,Abril,Abr,2019Abr
Mai/2019,2019,5,Maio,Mai,2019Mai
Jun/2019,2019,6,Junho,Jun,2019Jun
Jul/2019,2019,7,Julho,Jul,2019Jul
Ago/2019,2019,8,Agosto,Ago,2019Ago
Set/2019,2019,9,Setembro,Set,2019Set
Out/2019,2019,10,Outubro,Out,2019Out
Nov/2019,2019,11,Novembro,Nov,2019Nov
Dez/2019,2019,12,Dezembro,Dez,2019Dez
Jan/2020,2020,1,Janeiro,Jan,2020Jan
Fev/2020,2020,2,Fevereiro,Fev,2020Fev
Mar/2020,2020,3,Março,Mar,2020Mar
Abr/2020,2020,4,Abril,Abr,2020Abr
Mai/2020,2020,5,Maio,Mai,2020Mai
Jun/2020,2020,6,Junho,Jun,2020Jun
Jul/2020,2020,7,Julho,Jul,2020Jul
Ago/2020,2020,8,Agosto,Ago,2020Ago
Set/2020,2020,9,Setembro,Set,2020Set
Out/2020,2020,10,Outubro,Out,2020Out
Nov/2020,2020,11,Novembro,Nov,2020Nov
Dez/2020,2020,12,Dezembro,Dez,2020Dez
Jan/2021,2021,1,Janeiro,Jan,2021Jan
Fev/2021,2021,2,Fevereiro,Fev,2021Fev
Mar/2021,2021,3,Março,Mar,2021Mar
Abr/2021,2021,4,Abril,Abr,2021Abr
Mai/2021,2021,5,Maio,Mai,2021Mai
Jun/2021,2021,6,Junho,Jun,2021Jun
Jul/2021,2021,7,Julho,Jul,2021Jul
Ago/2021,2021,8,Agosto,Ago,2021Ago
Set/2021,2021,9,Setembro,Set,2021Set
Out/2021,2021,10,Outubro,Out,2021Out
Nov/2021,2021,11,Novembro,Nov,2021Nov
Dez/2021,2021,12,Dezembro,Dez,2021Dez
Jan/2022,2022,1,Janeiro,Jan,2022Jan
Fev/2022,2022,2,Fevereiro,Fev,2022Fev
Mar/2022,2022,3,Março,Mar,2022Mar
Abr/2022,2022,4,Abril,Abr,2022Abr
Mai/2022,2022,5,Maio,Mai,2022Mai
Jun/2022,2022,6,Junho,Jun,2022Jun
Jul/2022,2022,7,Julho,Jul,2022Jul
Ago/2022,2022,8,Agosto,Ago,2022Ago
Set/2022,2022,9,Setembro,Set,2022Set
Out/2022,2022,10,Outubro,Out,2022Out
Nov/2022,2022,11,Novembro,Nov,2022Nov
Dez/2022,2022,12,Dezembro,Dez,2022Dez
Jan/2023,2023,1,Janeiro,Jan,2023Jan
Fev/2023,2023,2,Fevereiro,Fev,2023Fev
Mar/2023,2023,3,Março,Mar,2023Mar
Abr/2023,2023,4,Abril,Abr,2023Abr
Mai/2023,2023,5,Maio,Mai,2023Mai
Jun/2023,2023,6,Junho,Jun,2023Jun
Jul/2023,2023,7,Julho,Jul,2023Jul
Ago/2023,2023,8,Agosto,Ago,2023Ago
Set/2023,2023,9,Setembro,Set,2023Set
Out/2023,2023,10,Outubro,Out,2023Out
Nov/2023,2023,11,Novembro,Nov,2023Nov
Dez/2023,2023,12,Dezembro,Dez,2023Dez
Jan/2024,2024,1,Janeiro,Jan,2024Jan
Fev/2024,2024,2,Fevereiro,Fev,2024Fev
Mar/2024,2024,3,Março,Mar,2024Mar
Abr/2024,2024,4,Abril,Abr,2024Abr
Mai/2024,2024,5,Maio,Mai,2024Mai
Jun/2024,2024,6,Junho,Jun,2024Jun
Jul/2024,2024,7,Julho,Jul,2024Jul
Ago/2024,2024,8,Agosto,Ago,2024Ago
Set/2024,2024,9,Setembro,Set,2024Set
Out/2024,2024,10,Outubro,Out,2024Out
Nov/2024,2024,11,Novembro,Nov,2024Nov
Dez/2024,2024,12,Dezembro,Dez,2024Dez
Jan/2025,2025,1,Janeiro,Jan,2025Jan
Fev/2025,2025,2,Fevereiro,Fev,2025Fev
Mar/2025,2025,3,Março,Mar,2025Mar
Abr/2025,2025,4,Abril,Abr,2025Abr
Mai/2025,2025,5,Maio,Mai,2025Mai
Jun/2025,2025,6,Junho,Jun,2025Jun
Jul/2025,2025,7,Julho,Jul,2025Jul
Ago/2025,2025,8,Agosto,Ago,2025Ago
Set/2025,2025,9,Setembro,Set,2025Set
Out/2025,2025,10,Outubro,Out,2025Out
Nov/2025,2025,11,Novembro,Nov,2025Nov
Dez/2025,2025,12,Dezembro,Dez,2025Dez
Jan/2026,2026,1,Janeiro,Jan,2026Jan
Fev/2026,2026,2,Fevereiro,Fev,2026Fev
Mar/2026,2026,3,Março,Mar,2026Mar
Abr/2026,2026,4,Abril,Abr,2026Abr
Mai/2026,2026,5,Maio,Mai,2026Mai
Jun/2026,2026,6,Junho,Jun,2026Jun
Jul/2026,2026,7,Julho,Jul,2026Jul
Ago/2026,2026,8,Agosto,Ago,2026Ago
Set/2026,2026,9,Setembro,Set,2026Set
Out/2026,2026,10,Outubro,Out,2026Out
Nov/2026,2026,11,Novembro,Nov,2026Nov
Dez/2026,2026,12,Dezembro,Dez,2026Dez
